Champion,Runes
masteryi,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LethalTempo/LethalTempoTemp.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CoupDeGrace/CoupDeGrace.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/MagicalFootwear/MagicalFootwear.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LethalTempo/LethalTempoTemp.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CoupDeGrace/CoupDeGrace.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/MagicalFootwear/MagicalFootwear.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
mel,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ArcaneComet/ArcaneComet.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CutDown/CutDown.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ArcaneComet/ArcaneComet.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CutDown/CutDown.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
milio,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/SummonAery/SummonAery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/BonePlating/BonePlating.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Revitalize/Revitalize.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/SummonAery/SummonAery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/BonePlating/BonePlating.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Revitalize/Revitalize.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
missfortune,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/FirstStrike/FirstStrike.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CashBack/CashBack2.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/JackOfAllTrades/JackofAllTrades2.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/GatheringStorm/GatheringStorm.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/FirstStrike/FirstStrike.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CashBack/CashBack2.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/JackOfAllTrades/JackofAllTrades2.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/GatheringStorm/GatheringStorm.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
mordekaiser,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/MirrorShell/MirrorShell.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Revitalize/Revitalize.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/MirrorShell/MirrorShell.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Revitalize/Revitalize.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
morgana,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/GlacialAugment/GlacialAugment.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CashBack/CashBack2.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/GlacialAugment/GlacialAugment.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CashBack/CashBack2.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
naafiri,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CoupDeGrace/CoupDeGrace.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/MagicalFootwear/MagicalFootwear.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendAlacrity/LegendAlacrity.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CoupDeGrace/CoupDeGrace.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/MagicalFootwear/MagicalFootwear.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
nami,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/SummonAery/SummonAery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/BonePlating/BonePlating.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Revitalize/Revitalize.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/SummonAery/SummonAery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ManaflowBand/ManaflowBand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/BonePlating/BonePlating.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/Revitalize/Revitalize.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
nasus,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/FleetFootwork/FleetFootwork.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Unflinching/Unflinching.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/FleetFootwork/FleetFootwork.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/LastStand/LastStand.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/SecondWind/SecondWind.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Unflinching/Unflinching.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
nautilus,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/VeteranAftershock/VeteranAftershock.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/MirrorShell/MirrorShell.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/BonePlating/BonePlating.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Unflinching/Unflinching.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/HextechFlashtraption/HextechFlashtraption.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/VeteranAftershock/VeteranAftershock.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/MirrorShell/MirrorShell.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Resolve/BonePlating/BonePlating.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Unflinching/Unflinching.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/HextechFlashtraption/HextechFlashtraption.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsCDRScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthPlusIcon.webp"
neeko,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ArcaneComet/ArcaneComet.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/NimbusCloak/6361.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Celerity/CelerityTemp.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/ArcaneComet/ArcaneComet.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/NimbusCloak/6361.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Celerity/CelerityTemp.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Scorch/Scorch.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/BiscuitDelivery/BiscuitDelivery.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Inspiration/CosmicInsight/CosmicInsight.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
nidalee,"https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CutDown/CutDown.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Waterwalking/Waterwalking.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Conqueror/Conqueror.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/Triumph.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/LegendHaste/LegendHaste.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Precision/CutDown/CutDown.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Transcendence/Transcendence.png, https://static.bigbrain.gg/assets/lol/riot_static/15.13.1/img/small-perk-images/Styles/Sorcery/Waterwalking/Waterwalking.png, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAttackSpeedIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsAdaptiveForceIcon.webp, https://static.bigbrain.gg/assets/lol/riot_static/14.2.1/img/perk-images/StatMods/StatModsHealthScalingIcon.webp"
